semana,casos,obitos
201809,3955,0
201810,4258,10
201811,4512,6
201812,4109,10
201813,3487,10
201814,4779,9
201815,5047,10
201816,4780,11
201817,4650,12
201818,3837,2
201819,4861,8
201820,4492,5
201821,3832,12
201822,2404,5
201823,2593,5
201824,2147,3
201825,1919,5
201826,1537,3
201827,1010,0
201828,868,1
201829,823,0
201830,629,1
201831,696,3
201832,716,2
201833,580,1
201834,520,0
201835,667,3
201836,481,2
201837,532,3
201838,578,1
201839,704,0
201840,725,2
201841,616,0
201842,749,1
201843,866,1
201844,800,2
201845,1081,3
201846,920,4
201847,1265,4
201848,1453,2
201849,1406,3
201850,1689,1
201851,1731,3
201852,1216,2
201901,1580,3
201902,2547,2
201903,2438,6
201904,2636,8
201905,3260,3
201906,3337,6
201907,3830,4
201908,4237,5
201909,3949,10
201910,3172,5
201911,4588,1
201912,5572,6
201913,6292,10
201914,6623,7
201915,6573,10
201916,5277,13
201917,7216,12
201918,7062,8
201919,7462,7
201920,7485,9
201921,7296,10
201922,6605,10
201923,5467,8
201924,4785,3
201925,3179,6
201926,3344,13
201927,2284,6
201928,1594,7
201929,1449,4
201930,1120,3
201931,1123,3
201932,816,3
201933,981,2
201934,896,1
201935,772,2
201936,692,0
201937,709,1
201938,726,4
201939,742,3
201940,821,2
201941,729,2
201942,872,2
201943,756,3
201944,817,2
201945,910,3
201946,847,3
201947,901,3
201948,863,4
201949,936,3
201950,1099,0
201951,1062,5
201952,708,1
202001,1267,1
202002,1561,4
202003,1847,4
202004,2235,4
202005,2292,7
202006,2962,3
202007,3153,2
202008,2907,3
202009,3170,2
202010,4278,4
202011,4164,3
202012,2895,6
202013,2579,5
202014,2884,3
202015,3237,5
202016,3124,3
202017,3122,1
202018,2747,7
202019,2600,5
202020,2410,8
202021,2217,4
202022,1840,4
202023,1884,6
202024,1822,3
202025,1946,3
202026,1790,5
202027,1796,5
202028,1462,2
202029,1049,3
202030,922,1
202031,787,2
202032,670,3
202033,727,1
202034,516,1
202035,418,0
202036,406,1
202037,459,1
202038,414,0
202039,402,1
202040,406,0
202041,352,0
202042,335,1
202043,316,1
202044,278,1
202045,451,0
202046,389,0
202047,418,1
202048,450,1
202049,543,0
