semana,casos,obitos
201743,1812,18
201744,1456,4
201745,1777,6
201746,1655,9
201747,1552,7
201748,1637,7
201749,1743,11
201750,1815,5
201751,1618,10
201752,1217,14
201801,1396,12
201802,1780,24
201803,2513,26
201804,2535,28
201805,2569,20
201806,2315,19
201807,1775,11
201808,2270,23
201809,2263,9
201810,2143,23
201811,2174,20
201812,2121,5
201813,1867,17
201814,2033,13
201815,2184,20
201816,1805,11
201817,1928,12
201818,1688,10
201819,1838,11
201820,1839,8
201821,1303,12
201822,1049,7
201823,1057,7
201824,1204,9
201825,990,4
201826,1088,8
201827,890,8
201828,651,6
201829,734,4
201830,672,2
201831,701,5
201832,580,3
201833,624,5
201834,747,5
201835,688,6
201836,577,7
201837,669,4
201838,702,9
201839,908,6
201840,914,8
201841,762,8
201842,1126,5
201843,1073,10
201844,1051,3
201845,1215,2
201846,1245,5
201847,1518,2
201848,1679,3
201849,1982,7
201850,2283,12
201851,2555,5
201852,2244,9
201901,3337,12
201902,4931,12
201903,6067,13
201904,8678,13
201905,12204,28
201906,14637,25
201907,17312,31
201908,20053,38
201909,19878,40
201910,18430,24
201911,22870,27
201912,26062,33
201913,31562,22
201914,35157,37
201915,36892,37
201916,36427,43
201917,46182,43
201918,41966,42
201919,44893,53
201920,45450,45
201921,40661,50
201922,30765,42
201923,20558,24
201924,19144,25
201925,13128,12
201926,13783,24
201927,9810,18
201928,5307,18
201929,4810,9
201930,4293,14
201931,3533,7
201932,3020,9
201933,2638,10
201934,2433,10
201935,2272,13
201936,1994,8
201937,2385,2
201938,2899,5
201939,2425,6
201940,2588,3
201941,2458,6
201942,2782,8
201943,2455,4
201944,2574,9
201945,2953,3
201946,2617,6
201947,3037,9
201948,3146,8
201949,3281,3
201950,3687,11
201951,4121,5
201952,3487,9
202001,6846,8
202002,9894,14
202003,13397,37
202004,17065,25
202005,19270,17
202006,24395,18
202007,27215,34
202008,23270,25
202009,23122,23
202010,24595,23
202011,22250,20
202012,15057,25
202013,13473,27
202014,12497,16
202015,11621,21
202016,11738,17
202017,10886,21
202018,10231,17
202019,9104,18
202020,7940,7
202021,5820,13
202022,4533,16
202023,4704,18
202024,4855,13
202025,4909,10
202026,4002,9
202027,3502,11
202028,3657,13
202029,3087,3
202030,2722,12
202031,2353,5
202032,2014,9
202033,2094,7
202034,1404,7
202035,1594,4
202036,1726,11
202037,1871,3
202038,1749,6
202039,1839,4
202040,1864,7
202041,1663,6
202042,1582,4
202043,1730,4
202044,1364,6
202045,1635,9
202046,1850,6
202047,1854,8
202048,2004,5
202049,2062,1
202050,2081,7
202051,2022,4
202052,1685,3
202053,959,1
202101,1779,0
202102,3310,9
202103,4197,9
202104,4958,8
202105,6200,17
202106,7626,11
202107,9569,11
202108,11416,18
202109,13540,26
202110,14528,21
202111,15234,20
202112,17083,19
202113,16450,18
202114,21805,23
202115,21103,21
202116,19095,23
202117,19189,15
202118,17014,21
202119,14461,16
202120,12962,27
202121,10091,16
202122,7758,11
202123,7766,13
202124,6047,12
202125,4879,7
202126,3331,8
202127,2781,9
202128,2969,4
202129,2142,5
202130,1831,5
202131,1598,6
202132,1772,10
202133,1948,8
202134,2092,6
202135,1769,7
202136,1629,3
202137,1879,6
202138,2005,7
202139,2010,18
202140,1661,7
202141,1541,4
202142,1778,8
202143,1686,5
202144,1630,8
202145,1872,4
202146,2003,6
202147,2202,8
202148,2679,8
202149,2924,5
202150,3704,7
202151,3437,4
202152,3853,8
202201,3410,2
202202,4779,8
202203,5469,2
202204,5003,9
202205,4748,10
202206,5455,11
202207,6798,12
202208,7884,12
202209,8684,13
202210,15164,22
202211,19486,27
202212,24334,32
202213,29550,28
202214,34282,41
202215,34905,40
202216,38119,51
202217,47529,61
202218,46527,58
202219,48566,42
202220,31176,44
202221,28090,58
202222,22069,28
202223,19492,32
202224,11866,20
202225,13167,21
202226,10453,13
202227,9416,15
202228,8002,12
202229,6943,15
202230,6317,9
202231,5866,10
202232,4570,5
202233,4818,13
202234,4330,11
202235,4126,7
202236,3819,12
202237,4211,15
202238,3903,6
202239,3664,6
202240,4427,13
202241,4096,13
202242,4350,10
202243,4466,9
202244,3558,8
202245,4280,5
202246,3908,8
202247,4442,5
202248,4276,12
202249,4208,3
202250,4921,8
202251,4345,8
202252,4309,10
