estado,R2,MSE,MAPE,parametros
RO,-2.846,0.018,0.73,"{'kernel': 'poly', 'C': 0.0023241674789965657, 'epsilon': 0.0207332498540026}"
AC,-3.078,0.003,0.877,"{'kernel': 'poly', 'C': 0.0023241674789965657, 'epsilon': 0.0207332498540026}"
AM,-0.083,0.0,0.554,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
PA,0.138,0.005,0.357,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
TO,-1.131,0.192,0.71,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
MA,-0.873,0.006,0.717,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
PI,-0.35,0.078,1.151,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
CE,-0.578,0.072,0.642,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
RN,-0.562,0.054,1.307,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
PB,-0.437,0.073,0.662,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
PE,-0.099,0.008,0.584,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
AL,-0.521,0.143,0.72,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
SE,-1.262,0.096,0.656,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
BA,0.427,0.007,0.672,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
MG,-0.092,0.004,0.506,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
ES,-4.368,0.001,3.932,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
RJ,-1.528,0.001,1.507,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
SP,0.088,0.023,0.49,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
PR,-0.245,0.069,0.766,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
SC,-0.399,0.132,0.73,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
RS,-0.274,0.107,0.768,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
MS,-0.831,0.017,0.709,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
MT,-0.631,0.066,0.559,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
GO,-0.583,0.137,0.662,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
DF,-0.578,0.097,0.688,"{'kernel': 'rbf', 'C': 0.11105269079638204, 'epsilon': 0.007038846653712152}"
